NAME	PROBE	DESCRIPTION<br>(from dataset)	GENE SYMBOL	GENE_TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MET	MET	MET	met proto-oncogene (hepatocyte growth factor receptor)	22	1.1312801837921143	0.0234378	No	
row_1	ATP2C1	ATP2C1	ATP2C1	ATPase, Ca++ transporting, type 2C, member 1	104	0.8765124678611755	0.036979016	No	
row_2	MAPK14	MAPK14	MAPK14	mitogen-activated protein kinase 14	109	0.8670679926872253	0.055871673	No	
row_3	FHL2	FHL2	FHL2	four and a half LIM domains 2	152	0.8029617071151733	0.070602074	No	
row_4	LDLR	LDLR	LDLR	low density lipoprotein receptor (familial hypercholesterolemia)	429	0.6485568284988403	0.065018944	No	
row_5	ERBB2	ERBB2	ERBB2	v-erb-b2 erythroblastic leukemia viral oncogene homolog 2, neuro/glioblastoma derived oncogene homolog (avian)	438	0.6444940567016602	0.0786989	No	
row_6	PTEN	PTEN	PTEN	phosphatase and tensin homolog (mutated in multiple advanced cancers 1)	528	0.6116589903831482	0.08580326	No	
row_7	ANXA4	ANXA4	ANXA4	annexin A4	647	0.5747182965278625	0.08999625	No	
row_8	DLG1	DLG1	DLG1	discs, large homolog 1 (Drosophila)	899	0.5175004601478577	0.08331917	No	
row_9	PMP22	PMP22	PMP22	peripheral myelin protein 22	952	0.5085808038711548	0.090815075	No	
row_10	ATRN	ATRN	ATRN	attractin	974	0.5043569207191467	0.100456126	No	
row_11	ANXA2	ANXA2	ANXA2	annexin A2	1289	0.44883519411087036	0.08771062	No	
row_12	F3	F3	F3	coagulation factor III (thromboplastin, tissue factor)	1320	0.44488856196403503	0.095386185	No	
row_13	SNAI2	SNAI2	SNAI2	snail homolog 2 (Drosophila)	1381	0.43711963295936584	0.100723505	No	
row_14	KALRN	KALRN	KALRN	kalirin, RhoGEF kinase	1568	0.41108468174934387	0.09638608	No	
row_15	DDAH1	DDAH1	DDAH1	dimethylarginine dimethylaminohydrolase 1	1616	0.40367230772972107	0.10192224	No	
row_16	ACVR2A	ACVR2A	ACVR2A	activin A receptor, type IIA	1620	0.4030700922012329	0.11062242	No	
row_17	ATP5S	ATP5S	ATP5S	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit s (factor B)	1648	0.3996778130531311	0.11751446	No	
row_18	PDLIM5	PDLIM5	PDLIM5	PDZ and LIM domain 5	1660	0.39831140637397766	0.12553167	No	
row_19	BCKDHB	BCKDHB	BCKDHB	branched chain keto acid dehydrogenase E1, beta polypeptide (maple syrup urine disease)	1829	0.376268595457077	0.12172387	No	
row_20	VLDLR	VLDLR	VLDLR	very low density lipoprotein receptor	1895	0.3694116771221161	0.12520227	No	
row_21	MT1E	MT1E	MT1E	metallothionein 1E (functional)	1955	0.3619261085987091	0.12894835	No	
row_22	IGF1R	IGF1R	IGF1R	insulin-like growth factor 1 receptor	2025	0.354337215423584	0.13180442	No	
row_23	RXRA	RXRA	RXRA	retinoid X receptor, alpha	2124	0.34382474422454834	0.13233377	No	
row_24	GJA1	GJA1	GJA1	gap junction protein, alpha 1, 43kDa (connexin 43)	2207	0.3343222439289093	0.1338083	No	
row_25	RND3	RND3	RND3	Rho family GTPase 3	2292	0.32492226362228394	0.13493046	No	
row_26	SRI	SRI	SRI	sorcin	2475	0.30495965480804443	0.12853417	No	
row_27	NEK7	NEK7	NEK7	NIMA (never in mitosis gene a)-related kinase 7	2605	0.2914356291294098	0.12566595	No	
row_28	ID1	ID1	ID1	inhibitor of DNA binding 1, dominant negative helix-loop-helix protein	2827	0.27039429545402527	0.115688704	No	
row_29	PTPRM	PTPRM	PTPRM	protein tyrosine phosphatase, receptor type, M	2847	0.26882636547088623	0.12026371	No	
row_30	CAV1	CAV1	CAV1	caveolin 1, caveolae protein, 22kDa	2984	0.2574927508831024	0.11613912	No	
row_31	PTPN21	PTPN21	PTPN21	protein tyrosine phosphatase, non-receptor type 21	3341	0.22691206634044647	0.09545125	No	
row_32	HAS2	HAS2	HAS2	hyaluronan synthase 2	3770	0.1874622404575348	0.06869135	No	
row_33	SLC22A18	SLC22A18	SLC22A18	solute carrier family 22 (organic cation transporter), member 18	3929	0.17583665251731873	0.061171662	No	
row_34	MRPS31	MRPS31	MRPS31	mitochondrial ribosomal protein S31	4215	0.15491564571857452	0.04401816	No	
row_35	APBB2	APBB2	APBB2	amyloid beta (A4) precursor protein-binding, family B, member 2 (Fe65-like)	4442	0.13906294107437134	0.0307745	No	
row_36	NR1D2	NR1D2	NR1D2	nuclear receptor subfamily 1, group D, member 2	4472	0.13698138296604156	0.031710673	No	
row_37	RUNX1	RUNX1	RUNX1	runt-related transcription factor 1 (acute myeloid leukemia 1; aml1 oncogene)	4672	0.12119638174772263	0.020021506	No	
row_38	SLC7A1	SLC7A1	SLC7A1	solute carrier family 7 (cationic amino acid transporter, y+ system), member 1	4774	0.11449684202671051	0.015260963	No	
row_39	MGLL	MGLL	MGLL	monoglyceride lipase	4822	0.11074996739625931	0.0143170105	No	
row_40	INSIG1	INSIG1	INSIG1	insulin induced gene 1	5323	0.07475242763757706	-0.020135593	No	
row_41	CDC42BPA	CDC42BPA	CDC42BPA	CDC42 binding protein kinase alpha (DMPK-like)	5376	0.07003277540206909	-0.022341363	No	
row_42	ATXN1	ATXN1	ATXN1	ataxin 1	5421	0.06648517400026321	-0.024047915	No	
row_43	BMPR1A	BMPR1A	BMPR1A	bone morphogenetic protein receptor, type IA	5451	0.0647076740860939	-0.0247106	No	
row_44	CDON	CDON	CDON	Cdon homolog (mouse)	5792	0.038424160331487656	-0.048412852	No	
row_45	PPARG	PPARG	PPARG	peroxisome proliferative activated receptor, gamma	5807	0.0376640260219574	-0.048590615	No	
row_46	AKT3	AKT3	AKT3	v-akt murine thymoma viral oncogene homolog 3 (protein kinase B, gamma)	5855	0.03354315459728241	-0.051242556	No	
row_47	RBPMS	RBPMS	RBPMS	RNA binding protein with multiple splicing	5965	0.02486432157456875	-0.058563672	No	
row_48	MAP2K5	MAP2K5	MAP2K5	mitogen-activated protein kinase kinase 5	6034	0.020165815949440002	-0.063028015	No	
row_49	TJP1	TJP1	TJP1	tight junction protein 1 (zona occludens 1)	6130	0.013902321457862854	-0.06958066	No	
row_50	TFPI	TFPI	TFPI	tissue factor pathway inhibitor (lipoprotein-associated coagulation inhibitor)	6292	0.0029261941090226173	-0.08114216	No	
row_51	TGFBR2	TGFBR2	TGFBR2	transforming growth factor, beta receptor II (70/80kDa)	6317	0.001029962208122015	-0.082852475	No	
row_52	MAP1B	MAP1B	MAP1B	microtubule-associated protein 1B	6322	5.800003418698907E-4	-0.08312849	No	
row_53	PHF3	PHF3	PHF3	PHD finger protein 3	6435	-0.008056283928453922	-0.09103808	No	
row_54	MAGI2	MAGI2	MAGI2	membrane associated guanylate kinase, WW and PDZ domain containing 2	6448	-0.008750393986701965	-0.09171105	No	
row_55	SDC2	SDC2	SDC2	syndecan 2 (heparan sulfate proteoglycan 1, cell surface-associated, fibroglycan)	6487	-0.011362607590854168	-0.09420376	No	
row_56	FAM179B	FAM179B	null	null	6609	-0.020356986671686172	-0.10249114	No	
row_57	ATRX	ATRX	ATRX	alpha thalassemia/mental retardation syndrome X-linked (RAD54 homolog, S. cerevisiae)	6650	-0.023142041638493538	-0.1048677	No	
row_58	SMAD7	SMAD7	SMAD7	SMAD, mothers against DPP homolog 7 (Drosophila)	6783	-0.032826077193021774	-0.11367357	No	
row_59	PRKCE	PRKCE	PRKCE	protein kinase C, epsilon	6923	-0.043379876762628555	-0.12275146	No	
row_60	SERPINE1	SERPINE1	SERPINE1	serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 1	6949	-0.04585413634777069	-0.123542376	No	
row_61	ADD3	ADD3	ADD3	adducin 3 (gamma)	7002	-0.049807045608758926	-0.12619558	No	
row_62	INPP4B	INPP4B	INPP4B	inositol polyphosphate-4-phosphatase, type II, 105kDa	7171	-0.06304797530174255	-0.13693254	No	
row_63	ATP2B1	ATP2B1	ATP2B1	ATPase, Ca++ transporting, plasma membrane 1	7418	-0.08031045645475388	-0.15292019	No	
row_64	DLC1	DLC1	DLC1	deleted in liver cancer 1	7546	-0.0904584527015686	-0.16009004	No	
row_65	MYC	MYC	MYC	v-myc myelocytomatosis viral oncogene homolog (avian)	7704	-0.1015877053141594	-0.16918007	No	
row_66	SCAF8	SCAF8	null	null	7804	-0.10916893929243088	-0.17391405	No	
row_67	VAV2	VAV2	VAV2	vav 2 oncogene	7924	-0.11861822754144669	-0.17988324	No	
row_68	NR3C1	NR3C1	NR3C1	nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor)	8043	-0.1285093128681183	-0.18556142	No	
