NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	Details ...	196	0.44778427	2.4213665	0.0	0.0	0.0	4051	tags=51%, list=29%, signal=71%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	Details ...	166	0.39902598	2.1123092	0.0	0.0	0.0	2679	tags=37%, list=19%, signal=46%	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION	Details ...	90	0.42796177	2.015068	0.0	0.0	0.0	2183	tags=33%, list=16%, signal=39%	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM	Details ...	132	0.36780494	1.8988558	0.0	0.0017416666	0.002	3629	tags=46%, list=26%, signal=62%	
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	Details ...	128	0.34390268	1.7481916	0.0	0.01093845	0.019	2579	tags=29%, list=18%, signal=35%	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	Details ...	197	0.31628865	1.7151066	0.0	0.013336071	0.027	3535	tags=37%, list=25%, signal=49%	
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME	Details ...	81	0.36089274	1.694238	0.004016064	0.014625238	0.036	2458	tags=33%, list=18%, signal=40%	
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP	Details ...	126	0.3313131	1.6880234	0.0	0.012797083	0.036	2183	tags=26%, list=16%, signal=31%	
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	Details ...	68	0.36827177	1.6849648	0.0	0.011990569	0.038	4021	tags=49%, list=29%, signal=68%	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY	Details ...	170	0.31079742	1.6636837	0.0	0.011935462	0.043	1875	tags=25%, list=13%, signal=28%	
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE	Details ...	86	0.3389015	1.6148509	0.008064516	0.015595074	0.062	2471	tags=34%, list=18%, signal=41%	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM	Details ...	153	0.299023	1.5495685	0.004854369	0.024285352	0.105	3289	tags=41%, list=24%, signal=52%	
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS	Details ...	64	0.34887785	1.5425488	0.01831502	0.023968188	0.114	2389	tags=31%, list=17%, signal=38%	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	Details ...	177	0.2847332	1.5288616	0.0	0.024397973	0.125	1976	tags=24%, list=14%, signal=28%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	Details ...	133	0.29510102	1.5212662	0.0	0.025324764	0.139	2695	tags=35%, list=19%, signal=42%	
