NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS	Details ...	118	-0.4530869	-1.9592092	0.0	5.2631577E-4	0.001	3264	tags=47%, list=23%, signal=60%	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Details ...	158	-0.42524245	-1.9214977	0.0	5.012532E-4	0.002	2188	tags=38%, list=16%, signal=45%	
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS	Details ...	25	-0.49348873	-1.6004518	0.01540832	0.031917196	0.173	1538	tags=24%, list=11%, signal=27%	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING	Details ...	35	-0.4627833	-1.5998883	0.017991005	0.024335146	0.176	1640	tags=26%, list=12%, signal=29%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	Details ...	65	-0.3465575	-1.3572695	0.06486487	0.19067188	0.853	3780	tags=42%, list=27%, signal=57%	
HALLMARK_NOTCH_SIGNALING	HALLMARK_NOTCH_SIGNALING	Details ...	29	-0.40174893	-1.325425	0.11872146	0.20780239	0.921	4365	tags=48%, list=31%, signal=70%	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE	Details ...	196	-0.28481808	-1.3171175	0.03172738	0.19100516	0.931	3059	tags=28%, list=22%, signal=35%	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	Details ...	137	-0.2876124	-1.273298	0.07323232	0.23698242	0.976	4226	tags=41%, list=30%, signal=58%	
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN	Details ...	127	-0.27912736	-1.20952	0.1312336	0.32950673	0.998	2910	tags=29%, list=21%, signal=36%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	Details ...	141	-0.2558018	-1.1371992	0.2214112	0.4686575	1.0	3347	tags=31%, list=24%, signal=41%	
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	Details ...	136	-0.25142428	-1.107741	0.25714287	0.50049895	1.0	3005	tags=34%, list=22%, signal=43%	
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING	Details ...	51	-0.28707814	-1.093533	0.31944445	0.49674952	1.0	3723	tags=29%, list=27%, signal=40%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING	Details ...	158	-0.22498325	-1.004836	0.4585427	0.7013351	1.0	2182	tags=21%, list=16%, signal=24%	
HALLMARK_COAGULATION	HALLMARK_COAGULATION	Details ...	84	-0.23860948	-0.9835748	0.49420848	0.70876116	1.0	4903	tags=48%, list=35%, signal=73%	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	Details ...	141	-0.22135727	-0.9769058	0.51589245	0.67943996	1.0	3272	tags=26%, list=23%, signal=34%	
CANCER_IMMUNITY_ANTIGENS_OVEREXPRESSED_IN_TUMORS	CANCER_IMMUNITY_ANTIGENS_OVEREXPRESSED_IN_TUMORS	Details ...	27	-0.27378055	-0.88285303	0.6465257	0.87250197	1.0	2676	tags=30%, list=19%, signal=37%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2	Details ...	58	-0.21277225	-0.8131136	0.8	0.9733301	1.0	2693	tags=21%, list=19%, signal=26%	
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE	Details ...	29	-0.24408127	-0.79996926	0.77996963	0.94248724	1.0	2887	tags=28%, list=21%, signal=35%	
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING	Details ...	24	-0.22742385	-0.71536833	0.86644953	0.9956314	1.0	3116	tags=33%, list=22%, signal=43%	
CANCER_IMMUNITY_SHARED_TUMOR_SPECIFIC_ANTIGENS	CANCER_IMMUNITY_SHARED_TUMOR_SPECIFIC_ANTIGENS	Details ...	2	-0.39921176	-0.6027075	0.9503676	0.99086076	1.0	2341	tags=50%, list=17%, signal=60%	
