NAME	DESCRIPTION	SK_MEL_301T	SK_MEL_311AT	SK_MEL_321AT	SK_MEL_337T	SK_MEL_351T	SK_MEL_363T	SK_MEL_381T	SK_MEL_389	SK_MEL_394T	SK_MEL_398T	SK_MEL_430T	SK_MEL_445T	SK_MEL_455T	SK_MEL_539T	SK_MEL_499	SK_MEL_526T	SK_MEL_540	SK_MEL_551AT	SK_MEL_560_2T	SK_MEL_566_1	SK_MEL_574	SK_MEL_581_1T	SK_MEL_598_1T	SK_MEL_641_1
A1BG	A1BG	38.0473	24.4353	35.3942	4.15226	38.832	31.1381	47.6453	31.3167	30.4191	16.1634	18.1242	14.2708	30.6818	26.5688	22.2104	42.122	14.388	15.4049	9.74104	35.5867	29.6735	33.7778	46.0255	13.0394
A1BG-AS1	A1BG-AS1	4.65476	3.07942	6.76764	0.623175	4.45132	4.53012	8.91327	4.83416	4.97062	7.57259	4.41665	1.76566	3.82791	3.56362	2.56114	5.29717	3.44104	5.46282	3.60399	5.8919	3.81164	4.24695	7.02271	3.12509
A2M	A2M	21.7745	425.495	23.6276	1159.74	144.213	237.927	100.163	78.5562	186.225	495.844	55.5444	167.085	30.9407	61.3702	183.465	187.94	35.5485	198.024	73.0572	50.4066	51.198	222.508	874.045	60.8891
A2M-AS1	A2M-AS1	2.60311	2.88891	0.057284	1.2992	1.58453	0.266023	1.85378	0.683101	0.715236	1.11047	0.661789	0.472531	0.785962	2.2982	1.01316	0.869914	0.707492	1.67372	1.322	0.115496	1.58674	0.385947	1.73864	0.240666
A4GALT	A4GALT	0.632897	3.64268	1.93346	10.0839	1.74797	1.85453	2.59172	3.32069	12.3072	3.72907	9.50213	5.23963	1.39018	0.638648	3.32142	3.23924	0.419847	2.01529	0.583985	0.856659	1.19806	0.861425	1.37073	2.03859
AAAS	AAAS	25.0753	10.9894	18.7173	19.276	19.0628	19.737	24.8321	13.5901	20.3454	23.5382	28.7185	18.8093	29.0223	17.9266	16.9624	15.6876	20.3104	14.1945	37.3652	12.4558	22.5893	22.634	17.4597	23.6728
AACS	AACS	13.4388	2.87131	8.58824	6.71514	5.42285	3.42364	11.3784	13.8629	4.04348	4.43026	5.92625	5.91928	6.60149	9.45004	6.18134	10.2745	3.21629	4.50102	4.85045	2.09374	1.78243	5.87859	5.32441	4.14416
AADAT	AADAT	9.73233	1.52256	7.15044	3.01641	1.41511	0.878881	1.44987	1.4617	0.614646	1.00467	0.321186	1.5053	4.36154	0.719857	4.30119	0.632567	0.657479	0.200904	0.903074	3.13509	4.88172	1.32483	1.02808	1.7853
AAED1	AAED1	0.695007	2.81929	11.2176	6.08363	3.91021	9.50134	5.69167	9.34637	6.60331	6.35377	4.06949	3.79906	6.31066	6.5397	3.71164	4.82658	7.16073	6.28172	12.9115	10.6002	3.95873	5.97096	13.5596	5.47317
AAGAB	AAGAB	27.7813	20.627	24.4569	19.9258	10.8922	17.9373	12.2088	17.6952	11.7186	16.9305	16.247	18.2131	18.5746	14.6105	26.961	26.0939	23.0401	17.8475	19.797	26.9875	31.6962	20.295	18.2621	27.641
AAK1	AAK1	2.07739	1.58854	3.27558	3.3929	2.75187	1.99305	4.22583	1.42269	3.17781	2.53692	5.02542	4.11286	2.4905	1.48765	1.92	2.62533	0.797581	3.59091	1.16908	2.10748	0.564567	1.12828	2.56978	3.7547
AAMDC	AAMDC	19.2907	25.6624	45.1117	92.4403	30.564	34.904	23.0711	16.3123	21.9796	27.5275	14.4927	37.794	26.3889	12.6326	41.5714	17.6619	22.0463	19.9345	49.5376	25.0705	27.6126	20.7195	29.8138	25.6038
AAMP	AAMP	88.7525	40.1278	58.7482	55.182	58.3805	69.148	91.1479	79.6574	38.3385	51.6034	45.9438	55.2591	54.5088	65.9924	46.182	72.9614	55.1467	63.0666	38.5096	67.3352	53.6233	42.1772	49.7116	53.4702
AAR2	AAR2	36.4123	25.3318	22.174	22.4937	23.5523	19.1106	21.247	12.5511	14.3231	19.8052	15.031	16.8854	29.7111	25.7403	15.7178	21.811	31.2592	17.5326	23.0628	25.3416	17.7585	18.8322	22.3164	23.7563
AARS	AARS	37.2635	52.4591	36.7858	31.4471	64.1132	64.9006	27.967	60.8877	24.9508	78.3707	28.149	38.3647	50.5789	42.587	32.1966	53.1468	72.2629	54.951	49.2293	114.709	24.9548	54.1724	58.084	34.6952
AARS2	AARS2	5.26929	10.4108	6.77424	3.77082	5.48691	21.6968	9.91748	5.29057	3.93726	11.7729	4.97639	3.92459	19.5242	12.2329	6.61956	15.4349	13.3413	10.2342	12.9649	15.0296	13.1867	15.2924	6.09722	26.6298
