Description of Features,Number of Features,Compared To,Filter,AUC,Pairwise Difference with Baseline
Average Similarity to Individual Epitopes,1,IEDB,None,"0.83, 95% CI [0.67, 0.96]","-0.01, 95% CI [-0.22, 0.21]"
Average Similarity to Individual Epitopes,1,IEDB,Viruses,"0.84, 95% CI [0.68, 0.96]","-0.01, 95% CI [-0.21, 0.20]"
Average Similarity to Individual Epitopes,1,IEDB,Non-Viral Pathogens,"0.84, 95% CI [0.69, 0.98]","-0.01, 95% CI [-0.21, 0.20]"
Average Similarity to Pathogens,1,IEDB,None,"0.87, 95% CI [0.72, 1.00]","0.02, 95% CI [-0.17, 0.22]"
Average Similarity to Pathogens,1,IEDB,Viruses,"0.86, 95% CI [0.71, 0.99]","0.01, 95% CI [-0.19, 0.22]"
Average Similarity to Pathogens,1,IEDB,Non-Viral Pathogens,"0.83, 95% CI [0.67, 0.97]","-0.02, 95% CI [-0.23, 0.19]"
Similarity to Individual Epitopes,2787,IEDB,None,"0.57, 95% CI [0.27, 0.82]","-0.28, 95% CI [-0.59, 0.01]"
Similarity to Individual Epitopes,2526,IEDB,Viruses,"0.57, 95% CI [0.29, 0.83]","-0.28, 95% CI [-0.57, 0.00]"
Similarity to Individual Epitopes,266,IEDB,Non-Viral Pathogens,"0.54, 95% CI [0.26, 0.78]","-0.31, 95% CI [-0.60, -0.02]"
Similarity to Pathogens,420,IEDB,None,"0.64, 95% CI [0.33, 0.90]","-0.21, 95% CI [-0.56, 0.12]"
Similarity to Pathogens,371,IEDB,Viruses,"0.63, 95% CI [0.31, 0.92]","-0.22, 95% CI [-0.57, 0.11]"
Similarity to Pathogens,49,IEDB,Non-Viral Pathogens,"0.65, 95% CI [0.35, 0.89]","-0.20, 95% CI [-0.55, 0.09]"
