NAME	DESCRIPTION	GENE_SYMBOL	GENE_TITLE	SCORE	
ACVRL1	ACVRL1	ACVRL1	activin A receptor type II-like 1	1.4225312	
COX4I2	COX4I2	COX4I2	cytochrome c oxidase subunit IV isoform 2 (lung)	1.4089054	
PLVAP	PLVAP	PLVAP	plasmalemma vesicle associated protein	1.4062402	
IFFO1	IFFO1	null	null	1.3894757	
CLEC3B	CLEC3B	CLEC3B	C-type lectin domain family 3, member B	1.1743912	
RAMP3	RAMP3	RAMP3	receptor (calcitonin) activity modifying protein 3	1.1714425	
PLAC9	PLAC9	PLAC9	placenta-specific 9	1.1653157	
CRIPAK	CRIPAK	CRIPAK	cysteine-rich PAK1 inhibitor	1.1634058	
ARHGEF15	ARHGEF15	ARHGEF15	Rho guanine nucleotide exchange factor (GEF) 15	1.1607324	
NPR1	NPR1	NPR1	natriuretic peptide receptor A/guanylate cyclase A (atrionatriuretic peptide receptor A)	1.1446759	
TSPYL5	TSPYL5	TSPYL5	TSPY-like 5	1.1315094	
CD34	CD34	CD34	CD34 molecule	1.1178517	
TNFRSF4	TNFRSF4	TNFRSF4	tumor necrosis factor receptor superfamily, member 4	1.1067593	
NEURL1B	NEURL1B	null	null	1.1020552	
APLNR	APLNR	null	null	1.0991414	
ESAM	ESAM	ESAM	endothelial cell adhesion molecule	1.0969942	
ECSCR	ECSCR	null	null	1.0957803	
CXorf36	CXorf36	CXORF36	chromosome X open reading frame 36	1.0900177	
CCM2L	CCM2L	null	null	1.0812595	
GSTM5	GSTM5	GSTM5	glutathione S-transferase M5	1.0795628	
DLL4	DLL4	DLL4	delta-like 4 (Drosophila)	1.0782213	
ZNF780B	ZNF780B	ZNF780B	zinc finger protein 780B	1.0581717	
GSTM1	GSTM1	GSTM1	glutathione S-transferase M1	1.0445807	
LYRM9	LYRM9	null	null	1.0405976	
RAPGEF3	RAPGEF3	RAPGEF3	Rap guanine nucleotide exchange factor (GEF) 3	1.0404998	
CDH5	CDH5	CDH5	cadherin 5, type 2, VE-cadherin (vascular epithelium)	1.0396369	
ARRDC2	ARRDC2	ARRDC2	arrestin domain containing 2	1.0392987	
ZNF780A	ZNF780A	ZNF780A	zinc finger protein 780A	1.0374382	
CLEC14A	CLEC14A	CLEC14A	C-type lectin domain family 14, member A	1.03512	
RP5-1142A6.9	RP5-1142A6.9	null	null	1.0325963	
SELM	SELM	SELM	-	1.0298619	
HAAO	HAAO	HAAO	3-hydroxyanthranilate 3,4-dioxygenase	1.0286245	
MXD4	MXD4	MXD4	MAX dimerization protein 4	1.0269675	
FAM110D	FAM110D	null	null	1.0201234	
C19orf60	C19orf60	null	null	1.0152622	
RP11-588K22.2	RP11-588K22.2	null	null	1.0107849	
SPNS2	SPNS2	null	null	1.0014011	
KIAA1462	KIAA1462	KIAA1462	KIAA1462	1.0013295	
LMF1	LMF1	null	null	0.9997468	
MTHFR	MTHFR	MTHFR	5,10-methylenetetrahydrofolate reductase (NADPH)	0.992779	
HTRA3	HTRA3	HTRA3	HtrA serine peptidase 3	0.99077606	
A4GALT	A4GALT	A4GALT	alpha 1,4-galactosyltransferase (globotriaosylceramide synthase)	0.98502713	
KCNJ8	KCNJ8	KCNJ8	potassium inwardly-rectifying channel, subfamily J, member 8	0.98181087	
DPT	DPT	DPT	dermatopontin	0.97638553	
LRRC70	LRRC70	null	null	0.97541606	
RBP7	RBP7	RBP7	retinol binding protein 7, cellular	0.9660934	
NRIP2	NRIP2	NRIP2	nuclear receptor interacting protein 2	0.96557087	
SLC29A2	SLC29A2	SLC29A2	solute carrier family 29 (nucleoside transporters), member 2	0.9652954	
RNASE1	RNASE1	RNASE1	ribonuclease, RNase A family, 1 (pancreatic)	0.96241343	
PNPLA7	PNPLA7	PNPLA7	patatin-like phospholipase domain containing 7	0.95436203	
C4orf32	C4orf32	C4ORF32	chromosome 4 open reading frame 32	0.9480728	
PCDH12	PCDH12	PCDH12	protocadherin 12	0.93504107	
KCNMB1	KCNMB1	KCNMB1	potassium large conductance calcium-activated channel, subfamily M, beta member 1	0.9339092	
GATSL3	GATSL3	null	null	0.93224823	
GRAP	GRAP	GRAP	GRB2-related adaptor protein	0.9306481	
SYNPO2	SYNPO2	SYNPO2	synaptopodin 2	0.92532307	
CAMKK1	CAMKK1	CAMKK1	calcium/calmodulin-dependent protein kinase kinase 1, alpha	0.9228521	
SFRP4	SFRP4	SFRP4	secreted frizzled-related protein 4	0.91984236	
