NAME	PROBE	DESCRIPTION<br>(from dataset)	GENE SYMBOL	GENE_TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PTTG1	PTTG1	PTTG1	pituitary tumor-transforming 1	717	0.47313302755355835	-0.03795365	No	
row_1	MAPK14	MAPK14	MAPK14	mitogen-activated protein kinase 14	725	0.4717307984828949	-0.024428796	No	
row_2	ATF5	ATF5	ATF5	activating transcription factor 5	726	0.4713999032974243	-0.010405842	No	
row_3	E2F2	E2F2	E2F2	E2F transcription factor 2	1088	0.39404943585395813	-0.024879357	No	
row_4	ATRX	ATRX	ATRX	alpha thalassemia/mental retardation syndrome X-linked (RAD54 homolog, S. cerevisiae)	1189	0.3747159540653229	-0.020988874	No	
row_5	CHMP1A	CHMP1A	null	null	1747	0.2863674461841583	-0.052888136	No	
row_6	DDX39A	DDX39A	null	null	1775	0.283648282289505	-0.046409536	No	
row_7	UPF1	UPF1	UPF1	UPF1 regulator of nonsense transcripts homolog (yeast)	2047	0.25123775005340576	-0.05860061	No	
row_8	RASAL2	RASAL2	RASAL2	RAS protein activator like 2	2072	0.24817058444023132	-0.052959688	No	
row_9	FOXN3	FOXN3	null	null	2223	0.23241683840751648	-0.05693043	No	
row_10	HIST1H2BK	HIST1H2BK	HIST1H2BK	histone cluster 1, H2bk	2319	0.22381341457366943	-0.057166096	No	
row_11	ESPL1	ESPL1	ESPL1	extra spindle poles like 1 (S. cerevisiae)	2371	0.2190133035182953	-0.05435175	No	
row_12	LBR	LBR	LBR	lamin B receptor	2956	0.16620129346847534	-0.09178487	No	
row_13	MKI67	MKI67	MKI67	antigen identified by monoclonal antibody Ki-67	3060	0.15816257894039154	-0.09455399	No	
row_14	CDC25B	CDC25B	CDC25B	cell division cycle 25B	3091	0.15571734309196472	-0.092098705	No	
row_15	BCL3	BCL3	BCL3	B-cell CLL/lymphoma 3	3320	0.13566936552524567	-0.1046074	No	
row_16	CUL5	CUL5	CUL5	cullin 5	3378	0.13239988684654236	-0.10480498	No	
row_17	CCNF	CCNF	CCNF	cyclin F	3475	0.12356182932853699	-0.10809544	No	
row_18	E2F3	E2F3	E2F3	E2F transcription factor 3	3640	0.11031507700681686	-0.116714284	No	
row_19	PBK	PBK	PBK	PDZ binding kinase	3694	0.10694122314453125	-0.11737893	No	
row_20	SNRPD1	SNRPD1	SNRPD1	small nuclear ribonucleoprotein D1 polypeptide 16kDa	3716	0.10599729418754578	-0.11574962	No	
row_21	TMPO	TMPO	TMPO	thymopoietin	3728	0.10542047023773193	-0.11341182	No	
row_22	TLE3	TLE3	TLE3	transducin-like enhancer of split 3 (E(sp1) homolog, Drosophila)	3758	0.10366560518741608	-0.11243238	No	
row_23	CENPE	CENPE	CENPE	centromere protein E, 312kDa	4190	0.07575640082359314	-0.14145377	No	
row_24	INCENP	INCENP	INCENP	inner centromere protein antigens 135/155kDa	4339	0.0669906809926033	-0.15020038	No	
row_25	KIF11	KIF11	KIF11	kinesin family member 11	4412	0.06206895038485527	-0.15357858	No	
row_26	CCNA2	CCNA2	CCNA2	cyclin A2	4438	0.06049976125359535	-0.15359296	No	
row_27	KPNB1	KPNB1	KPNB1	karyopherin (importin) beta 1	4501	0.05643389746546745	-0.15641314	No	
row_28	RBM14	RBM14	RBM14	RNA binding motif protein 14	4524	0.055271510034799576	-0.15636535	No	
row_29	PURA	PURA	PURA	purine-rich element binding protein A	4579	0.0522163100540638	-0.15873049	No	
row_30	SQLE	SQLE	SQLE	squalene epoxidase	4612	0.050988711416721344	-0.15953574	No	
row_31	FANCC	FANCC	FANCC	Fanconi anemia, complementation group C	4641	0.04891218617558479	-0.16011252	No	
row_32	ABL1	ABL1	ABL1	v-abl Abelson murine leukemia viral oncogene homolog 1	4680	0.04710913449525833	-0.16146855	No	
row_33	BRCA2	BRCA2	BRCA2	breast cancer 2, early onset	4710	0.04507969692349434	-0.16223189	No	
row_34	RACGAP1	RACGAP1	RACGAP1	Rac GTPase activating protein 1	4773	0.04187508299946785	-0.16548516	No	
row_35	NEK2	NEK2	NEK2	NIMA (never in mitosis gene a)-related kinase 2	4776	0.04169178009033203	-0.16439006	No	
row_36	TNPO2	TNPO2	TNPO2	transportin 2 (importin 3, karyopherin beta 2b)	4867	0.036378879100084305	-0.16983862	No	
row_37	SMAD3	SMAD3	SMAD3	SMAD, mothers against DPP homolog 3 (Drosophila)	4916	0.0329895056784153	-0.17234032	No	
row_38	TGFB1	TGFB1	TGFB1	transforming growth factor, beta 1 (Camurati-Engelmann disease)	4966	0.029838914051651955	-0.17500831	No	
row_39	POLQ	POLQ	POLQ	polymerase (DNA directed), theta	4987	0.02884628437459469	-0.17560148	No	
row_40	KIF4A	KIF4A	KIF4A	kinesin family member 4A	4998	0.028382882475852966	-0.1754828	No	
row_41	PML	PML	PML	promyelocytic leukemia	5131	0.020468108355998993	-0.18445233	No	
row_42	HMGN2	HMGN2	HMGN2	high-mobility group nucleosomal binding domain 2	5173	0.018133733421564102	-0.18688801	No	
row_43	CTCF	CTCF	CTCF	CCCTC-binding factor (zinc finger protein)	5228	0.015297417528927326	-0.19035138	No	
row_44	CDK1	CDK1	null	null	5232	0.015201403759419918	-0.19011687	No	
row_45	CCNT1	CCNT1	CCNT1	cyclin T1	5255	0.01432704459875822	-0.19128707	No	
row_46	G3BP1	G3BP1	null	null	5280	0.012864488177001476	-0.19264592	No	
row_47	TROAP	TROAP	TROAP	trophinin associated protein (tastin)	5337	0.00915200263261795	-0.19643724	No	
row_48	UCK2	UCK2	UCK2	uridine-cytidine kinase 2	5342	0.009016809053719044	-0.19645926	No	
row_49	UBE2S	UBE2S	UBE2S	ubiquitin-conjugating enzyme E2S	5356	0.008118297904729843	-0.1971611	No	
row_50	MCM3	MCM3	MCM3	MCM3 minichromosome maintenance deficient 3 (S. cerevisiae)	5363	0.007730560842901468	-0.1973665	No	
row_51	H2AFX	H2AFX	H2AFX	H2A histone family, member X	5469	5.46432682313025E-4	-0.20496944	No	
row_52	PRPF4B	PRPF4B	PRPF4B	PRP4 pre-mRNA processing factor 4 homolog B (yeast)	5501	-0.001934906467795372	-0.20716135	No	
row_53	ORC6	ORC6	null	null	5516	-0.003078182227909565	-0.20808569	No	
row_54	EWSR1	EWSR1	EWSR1	Ewing sarcoma breakpoint region 1	5517	-0.003121310845017433	-0.20799284	No	
row_55	RAD21	RAD21	RAD21	RAD21 homolog (S. pombe)	5585	-0.0066279140301048756	-0.21265744	No	
row_56	RPA2	RPA2	RPA2	replication protein A2, 32kDa	5617	-0.008039245381951332	-0.21466775	No	
row_57	MYBL2	MYBL2	MYBL2	v-myb myeloblastosis viral oncogene homolog (avian)-like 2	5693	-0.011205642484128475	-0.21977669	No	
row_58	CHAF1A	CHAF1A	CHAF1A	chromatin assembly factor 1, subunit A (p150)	5714	-0.012322676368057728	-0.2208614	No	
row_59	PAPD7	PAPD7	null	null	5715	-0.012340138666331768	-0.22049432	No	
row_60	CDC6	CDC6	CDC6	CDC6 cell division cycle 6 homolog (S. cerevisiae)	5738	-0.014216383919119835	-0.22166781	No	
row_61	AMD1	AMD1	AMD1	adenosylmethionine decarboxylase 1	5763	-0.015716329216957092	-0.22294182	No	
row_62	POLA2	POLA2	POLA2	polymerase (DNA directed), alpha 2 (70kD subunit)	5767	-0.01606118492782116	-0.22268173	No	
row_63	RBL1	RBL1	RBL1	retinoblastoma-like 1 (p107)	5793	-0.017459185793995857	-0.22397646	No	
row_64	PLK4	PLK4	PLK4	polo-like kinase 4 (Drosophila)	5794	-0.017550108954310417	-0.22345439	No	
