NAME	PROBE	DESCRIPTION<br>(from dataset)	GENE SYMBOL	GENE_TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ICAM1	ICAM1	ICAM1	intercellular adhesion molecule 1 (CD54), human rhinovirus receptor	231	0.4846072196960449	0.002615175	No	
row_1	MAPK14	MAPK14	MAPK14	mitogen-activated protein kinase 14	268	0.46639731526374817	0.018595466	No	
row_2	ITGB4	ITGB4	ITGB4	integrin, beta 4	297	0.4558393657207489	0.0347332	No	
row_3	MPZL2	MPZL2	null	null	310	0.45002615451812744	0.051795483	No	
row_4	SRC	SRC	SRC	v-src sarcoma (Schmidt-Ruppin A-2) viral oncogene homolog (avian)	413	0.4179607331752777	0.06107689	No	
row_5	JUP	JUP	JUP	junction plakoglobin	427	0.41358208656311035	0.07661495	No	
row_6	CD86	CD86	CD86	CD86 molecule	737	0.3483833074569702	0.06816661	No	
row_7	LAMB3	LAMB3	LAMB3	laminin, beta 3	826	0.3342609405517578	0.075124994	No	
row_8	GAMT	GAMT	GAMT	guanidinoacetate N-methyltransferase	921	0.3182327151298523	0.081011236	No	
row_9	CTNNA1	CTNNA1	CTNNA1	catenin (cadherin-associated protein), alpha 1, 102kDa	980	0.30877581238746643	0.08912206	No	
row_10	SIRPA	SIRPA	SIRPA	signal-regulatory protein alpha	1054	0.2992341220378876	0.09576883	No	
row_11	ADAM15	ADAM15	ADAM15	ADAM metallopeptidase domain 15 (metargidin)	1714	0.22150327265262604	0.056974646	No	
row_12	PTK2	PTK2	PTK2	PTK2 protein tyrosine kinase 2	1840	0.21005535125732422	0.056310974	No	
row_13	CLDN15	CLDN15	CLDN15	claudin 15	1965	0.19979731738567352	0.05531087	No	
row_14	PCDH1	PCDH1	PCDH1	protocadherin 1 (cadherin-like 1)	2001	0.19634607434272766	0.060604367	No	
row_15	PVRL1	PVRL1	PVRL1	poliovirus receptor-related 1 (herpesvirus entry mediator C; nectin)	2058	0.1921897977590561	0.064214826	No	
row_16	PARD6G	PARD6G	PARD6G	par-6 partitioning defective 6 homolog gamma (C. elegans)	2097	0.18831034004688263	0.068971395	No	
row_17	LIMA1	LIMA1	LIMA1	LIM domain and actin binding 1	2113	0.18610510230064392	0.07530207	No	
row_18	FYB	FYB	FYB	FYN binding protein (FYB-120/130)	2396	0.1646169126033783	0.061483346	No	
row_19	ADAMTS5	ADAMTS5	ADAMTS5	ADAM metallopeptidase with thrombospondin type 1 motif, 5 (aggrecanase-2)	2480	0.15898633003234863	0.061819945	No	
row_20	SKAP2	SKAP2	SKAP2	src kinase associated phosphoprotein 2	2619	0.1502118557691574	0.057832684	No	
row_21	MDK	MDK	MDK	midkine (neurite growth-promoting factor 2)	2649	0.1483829766511917	0.061648853	No	
row_22	MAPK13	MAPK13	MAPK13	mitogen-activated protein kinase 13	2724	0.1428716480731964	0.061993763	No	
row_23	PVRL2	PVRL2	PVRL2	poliovirus receptor-related 2 (herpesvirus entry mediator B)	2844	0.1343088150024414	0.058745846	No	
row_24	RRAS	RRAS	RRAS	related RAS viral (r-ras) oncogene homolog	2989	0.12529711425304413	0.053332407	No	
row_25	JAM3	JAM3	JAM3	junctional adhesion molecule 3	3045	0.12193513661623001	0.05421612	No	
row_26	GNAI1	GNAI1	GNAI1	guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 1	3128	0.11733069270849228	0.052965384	No	
row_27	NF1	NF1	NF1	neurofibromin 1 (neurofibromatosis, von Recklinghausen disease, Watson disease)	3189	0.114342600107193	0.05318531	No	
row_28	BMP1	BMP1	BMP1	bone morphogenetic protein 1	3201	0.11349864304065704	0.056912333	No	
row_29	LAYN	LAYN	LAYN	layilin	3219	0.11248806864023209	0.060165532	No	
row_30	PARVA	PARVA	PARVA	parvin, alpha	3283	0.10890120267868042	0.05995189	No	
row_31	SDC3	SDC3	SDC3	syndecan 3 (N-syndecan)	3649	0.0875861793756485	0.037066653	No	
row_32	NLGN3	NLGN3	NLGN3	neuroligin 3	3674	0.08602973818778992	0.038759917	No	
row_33	CX3CL1	CX3CL1	CX3CL1	chemokine (C-X3-C motif) ligand 1	3760	0.08090898394584656	0.03584133	No	
row_34	DHX16	DHX16	DHX16	DEAH (Asp-Glu-Ala-His) box polypeptide 16	3923	0.07173210382461548	0.026993148	No	
row_35	DLG1	DLG1	DLG1	discs, large homolog 1 (Drosophila)	3955	0.07020190358161926	0.02755	No	
row_36	PTEN	PTEN	PTEN	phosphatase and tensin homolog (mutated in multiple advanced cancers 1)	4062	0.06432803720235825	0.022453366	No	
row_37	TAOK2	TAOK2	TAOK2	TAO kinase 2	4101	0.06240393593907356	0.022193726	No	
row_38	ITGA2	ITGA2	ITGA2	integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor)	4113	0.0617392398416996	0.02385861	No	
row_39	PTPRC	PTPRC	PTPRC	protein tyrosine phosphatase, receptor type, C	4117	0.06161343306303024	0.02609656	No	
row_40	MMP9	MMP9	MMP9	matrix metallopeptidase 9 (gelatinase B, 92kDa gelatinase, 92kDa type IV collagenase)	4161	0.05853372812271118	0.025321428	No	
row_41	TSC1	TSC1	TSC1	tuberous sclerosis 1	4210	0.05594286322593689	0.024081778	No	
row_42	MYL12B	MYL12B	null	null	4331	0.04970892146229744	0.017391073	No	
row_43	MPP5	MPP5	MPP5	membrane protein, palmitoylated 5 (MAGUK p55 subfamily member 5)	4528	0.03925987333059311	0.004792344	No	
row_44	AMIGO2	AMIGO2	AMIGO2	adhesion molecule with Ig-like domain 2	4578	0.0366661474108696	0.0027124335	No	
row_45	ARHGEF6	ARHGEF6	ARHGEF6	Rac/Cdc42 guanine nucleotide exchange factor (GEF) 6	4789	0.02660607360303402	-0.011402067	No	
