NAME	PROBE	DESCRIPTION<br>(from dataset)	GENE SYMBOL	GENE_TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NDRG1	NDRG1	NDRG1	N-myc downstream regulated gene 1	124	0.4374224543571472	0.006414226	Yes	
row_1	SLC6A6	SLC6A6	SLC6A6	solute carrier family 6 (neurotransmitter transporter, taurine), member 6	133	0.43358492851257324	0.021090105	Yes	
row_2	GPC4	GPC4	GPC4	glypican 4	144	0.4285007417201996	0.035442337	Yes	
row_3	SLC2A1	SLC2A1	SLC2A1	solute carrier family 2 (facilitated glucose transporter), member 1	174	0.4169597327709198	0.0480132	Yes	
row_4	PIM1	PIM1	PIM1	pim-1 oncogene	182	0.4140949845314026	0.06207574	Yes	
row_5	SLC37A4	SLC37A4	SLC37A4	solute carrier family 37 (glycerol-6-phosphate transporter), member 4	184	0.4137389361858368	0.07656007	Yes	
row_6	IGFBP3	IGFBP3	IGFBP3	insulin-like growth factor binding protein 3	213	0.40323933959007263	0.08872059	Yes	
row_7	FBP1	FBP1	FBP1	fructose-1,6-bisphosphatase 1	256	0.38789522647857666	0.09932786	Yes	
row_8	PDK3	PDK3	PDK3	pyruvate dehydrogenase kinase, isozyme 3	293	0.37427055835723877	0.10989008	Yes	
row_9	TPD52	TPD52	TPD52	tumor protein D52	355	0.35871830582618713	0.118095495	Yes	
row_10	IDS	IDS	IDS	iduronate 2-sulfatase (Hunter syndrome)	589	0.3042882978916168	0.11193564	Yes	
row_11	GLRX	GLRX	GLRX	glutaredoxin (thioltransferase)	690	0.2837528884410858	0.1146805	Yes	
row_12	UGP2	UGP2	UGP2	UDP-glucose pyrophosphorylase 2	711	0.2801320552825928	0.12308878	Yes	
row_13	SLC2A5	SLC2A5	SLC2A5	solute carrier family 2 (facilitated glucose/fructose transporter), member 5	719	0.2793671786785126	0.13241115	Yes	
row_14	TGM2	TGM2	TGM2	transglutaminase 2 (C polypeptide, protein-glutamine-gamma-glutamyltransferase)	760	0.2738126814365387	0.13914938	Yes	
row_15	TMEM45A	TMEM45A	TMEM45A	transmembrane protein 45A	809	0.26581642031669617	0.1450272	Yes	
row_16	GALK1	GALK1	GALK1	galactokinase 1	848	0.26129162311553955	0.15146968	Yes	
row_17	ILVBL	ILVBL	ILVBL	ilvB (bacterial acetolactate synthase)-like	874	0.25779539346694946	0.15873015	Yes	
row_18	LXN	LXN	LXN	latexin	920	0.25020501017570496	0.16427587	Yes	
row_19	NAGK	NAGK	NAGK	N-acetylglucosamine kinase	964	0.2448420375585556	0.16977766	Yes	
row_20	TES	TES	TES	testis derived transcript (3 LIM domains)	1000	0.24117670953273773	0.17572959	Yes	
row_21	HK2	HK2	HK2	hexokinase 2	1032	0.237688809633255	0.18184833	Yes	
row_22	F3	F3	F3	coagulation factor III (thromboplastin, tissue factor)	1084	0.2312420904636383	0.18629256	Yes	
row_23	PRDX5	PRDX5	PRDX5	peroxiredoxin 5	1102	0.2286294400691986	0.19310597	Yes	
row_24	GYS1	GYS1	GYS1	glycogen synthase 1 (muscle)	1192	0.21857567131519318	0.19435391	Yes	
row_25	GPC1	GPC1	GPC1	glypican 1	1447	0.19240614771842957	0.18273757	Yes	
row_26	CDKN1A	CDKN1A	CDKN1A	cyclin-dependent kinase inhibitor 1A (p21, Cip1)	1505	0.18631994724273682	0.18516698	Yes	
row_27	EFNA1	EFNA1	EFNA1	ephrin-A1	1542	0.18302105367183685	0.18900041	Yes	
row_28	TPST2	TPST2	TPST2	tyrosylprotein sulfotransferase 2	1615	0.17620375752449036	0.18998812	Yes	
row_29	EFNA3	EFNA3	EFNA3	ephrin-A3	1640	0.1745595633983612	0.19439246	Yes	
row_30	AK4	AK4	null	null	1756	0.16581487655639648	0.1919021	Yes	
row_31	ERO1L	ERO1L	ERO1L	ERO1-like (S. cerevisiae)	1822	0.16131211817264557	0.19287257	Yes	
row_32	ALDOA	ALDOA	ALDOA	aldolase A, fructose-bisphosphate	1848	0.1591181755065918	0.19666125	Yes	
row_33	HDLBP	HDLBP	HDLBP	high density lipoprotein binding protein (vigilin)	2004	0.1485462337732315	0.19066791	Yes	
row_34	IER3	IER3	IER3	immediate early response 3	2029	0.14708463847637177	0.1941056	Yes	
row_35	PGK1	PGK1	PGK1	phosphoglycerate kinase 1	2035	0.14645379781723022	0.1988964	Yes	
row_36	NR3C1	NR3C1	NR3C1	nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor)	2050	0.1452232003211975	0.20299244	Yes	
row_37	P4HA1	P4HA1	P4HA1	procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), alpha polypeptide I	2114	0.1398729830980301	0.20335338	Yes	
row_38	S100A4	S100A4	S100A4	S100 calcium binding protein A4	2411	0.1198367178440094	0.18614365	No	
row_39	FAM162A	FAM162A	null	null	2427	0.11861546337604523	0.18923116	No	
row_40	LARGE	LARGE	LARGE	like-glycosyltransferase	2523	0.11209007352590561	0.18629827	No	
row_41	SDC3	SDC3	SDC3	syndecan 3 (N-syndecan)	2556	0.11022109538316727	0.1878599	No	
row_42	PFKFB3	PFKFB3	PFKFB3	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3	2646	0.10491300374269485	0.18510881	No	
row_43	KDM3A	KDM3A	null	null	2807	0.09436866641044617	0.1768474	No	
row_44	ALDOC	ALDOC	ALDOC	aldolase C, fructose-bisphosphate	2974	0.08495078980922699	0.16782032	No	
row_45	HSPA5	HSPA5	HSPA5	heat shock 70kDa protein 5 (glucose-regulated protein, 78kDa)	3097	0.07816807180643082	0.16173956	No	
row_46	EXT1	EXT1	EXT1	exostoses (multiple) 1	3199	0.07305662333965302	0.15699904	No	
row_47	LDHA	LDHA	LDHA	lactate dehydrogenase A	3321	0.06585664302110672	0.1505575	No	
row_48	CASP6	CASP6	CASP6	caspase 6, apoptosis-related cysteine peptidase	3378	0.06354149430990219	0.14873953	No	
