NAME	PROBE	DESCRIPTION<br>(from dataset)	GENE SYMBOL	GENE_TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RPS6KA1	RPS6KA1	RPS6KA1	ribosomal protein S6 kinase, 90kDa, polypeptide 1	247	0.6820558309555054	0.008743334	No	
row_1	IL2RG	IL2RG	IL2RG	interleukin 2 receptor, gamma (severe combined immunodeficiency)	393	0.6352033615112305	0.023008374	No	
row_2	ADRBK1	ADRBK1	ADRBK1	adrenergic, beta, receptor kinase 1	532	0.5937332510948181	0.036164515	No	
row_3	CXCR4	CXCR4	CXCR4	chemokine (C-X-C motif) receptor 4	890	0.5011427402496338	0.029951662	No	
row_4	SLA	SLA	SLA	Src-like-adaptor	1018	0.4745071828365326	0.039262738	No	
row_5	TRAF2	TRAF2	TRAF2	TNF receptor-associated factor 2	1162	0.44728735089302063	0.046363164	No	
row_6	PPP1CA	PPP1CA	PPP1CA	protein phosphatase 1, catalytic subunit, alpha isoform	1465	0.3844764828681946	0.03957278	No	
row_7	NOD1	NOD1	null	null	1541	0.37271836400032043	0.048668955	No	
row_8	PFN1	PFN1	PFN1	profilin 1	1578	0.3665735721588135	0.060334116	No	
row_9	PIK3R3	PIK3R3	PIK3R3	phosphoinositide-3-kinase, regulatory subunit 3 (p55, gamma)	1831	0.32937169075012207	0.055000514	No	
row_10	NFKBIB	NFKBIB	NFKBIB	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, beta	1913	0.31895819306373596	0.061573796	No	
row_11	MKNK2	MKNK2	MKNK2	MAP kinase interacting serine/threonine kinase 2	2044	0.30214542150497437	0.06396521	No	
row_12	MAP2K3	MAP2K3	MAP2K3	mitogen-activated protein kinase kinase 3	2144	0.2903567850589752	0.06813011	No	
row_13	TIAM1	TIAM1	TIAM1	T-cell lymphoma invasion and metastasis 1	2308	0.2693973481655121	0.066871874	No	
row_14	MKNK1	MKNK1	MKNK1	MAP kinase interacting serine/threonine kinase 1	2362	0.2640612721443176	0.07332604	No	
row_15	PIKFYVE	PIKFYVE	null	null	2380	0.26135411858558655	0.08226689	No	
row_16	ARPC3	ARPC3	ARPC3	actin related protein 2/3 complex, subunit 3, 21kDa	2403	0.25958940386772156	0.09077911	No	
